ImageName,PNSR,SSIM_A,SSIM_B,SSIM_C
03813.png,15.08511661,1.3181129,1.356499063,0.565193782
00061.png,16.23600098,1.6046257,1.633855241,1.743742317
00555.png,21.88469921,1.66378,1.696371873,2.890154667
00290.png,17.9086663,1.6830688,1.710380627,1.229592884
02641.png,19.40334595,1.426177,1.452082662,5.913769768
00489.png,20.2188899,1.6901652,1.718028819,1.139365966
04018.png,15.20358656,1.5172672,1.548456307,2.502095428
04006.png,17.40826314,1.5567079,1.585775529,1.810992262
03989.png,17.14821047,1.4730883,1.503159968,0.344248329
00825.png,18.96145204,1.6799413,1.711188134,0.866354742
01454.png,16.60501005,1.5777917,1.604694876,1.407458878
01911.png,13.93828842,1.4686744,1.494218895,0.58067186
01320.png,18.25988251,1.1358079,1.157255065,1.978882673
00390.png,19.64005051,1.6930807,1.718568126,1.447956957
02120.png,11.63170947,1.3121246,1.352757744,1.481445732
01422.png,15.21044562,1.1674676,1.191020151,0.988121338
00606.png,19.79369097,1.6916876,1.717617916,3.133002021
01017.png,21.66983621,1.6419767,1.68233184,0.656474298
02073.png,12.90299842,1.2892208,1.314675708,1.835291526
00950.png,15.35614566,1.5995795,1.633601615,2.359192903
01779.png,13.41445794,1.3870652,1.410474198,0.858220012
00716.png,16.20211229,1.611124,1.64177055,1.211777663
02869.png,14.02825082,1.261166,1.303625456,1.278696102
02102.png,12.09731052,1.3973587,1.422050746,1.340606772
00196.png,16.36832829,1.3691721,1.411136545,1.754989532
00712.png,15.29314099,1.5994914,1.629821874,1.301465397
01673.png,15.43636289,1.3977816,1.433347092,0.686008587
03600.png,12.37333379,1.2072777,1.24262516,1.632287707
01494.png,16.55322503,1.1585355,1.193632107,2.406039456
02002.png,12.11133248,1.3641324,1.386817872,0.439100739
00762.png,15.39260092,1.2610848,1.303883955,0.66400318
01531.png,13.3711686,1.3982847,1.419117823,0.240915122
01806.png,16.81827217,1.2444681,1.277501061,0.262936663
02527.png,14.79957407,1.3156219,1.363285109,1.200714718
03473.png,17.78362907,1.3508053,1.400401907,1.176843606
00633.png,22.05943575,1.7428362,1.771380807,2.069106317
01710.png,13.56325679,1.3706901,1.393518663,0.455340973
01937.png,15.33069366,1.2969897,1.332094079,0.597605594
03462.png,13.63994509,1.2516061,1.285325752,0.822001435
03878.png,16.98743396,1.4942205,1.526220011,3.263341545
